Date,Reviews,Username,Stars,Helpful
7-Aug-18,I've tried this several times for my commute. For me it seems that it always chooses the wrong route when there is traffic. When I switch to the route I think is faster it removes several minutes from arrival time. Seems slow to react to clearing of incidents.,Jim Doherty,Rated 1 stars out of five stars,
2-Aug-18,"Always on, need to be able to turn off as it also crashes all the time, last trip it crashed multiple times, some at really bad times. Used to love but now sucks, and I was a top level user, but won't be going forward. I'm using an S7 edge so it's not the phone's issue...",John Oplt,Rated 2 stars out of five stars,4
3-Aug-18,"Better than Gmaps at rerouting around traffic congestion (for whatever reason)and of course speed traps...but not as accurate for ""out of the city"" destinations...seems to be off by anywhere from a kilometre to 5 kilometers. Also, I hate adware and that's what this is. There does not seem to be ...
Full Review",A Google user,Rated 3 stars out of five stars,1
29-Jul-18,"This used to be the top navigation app, but has recently gone to pot. The ETA is totally unreliable, it sends you off track spontaneously and has developed loads of new bugs. Please fix this app!",Alexander Kyriacou,Rated 2 stars out of five stars,19
31-Jul-18,"I've just downloaded this app and so far I enjoy it. If you know where you are going you don't have to put the directions in, just open the app and drive. It will let you know of things in the area ahead. Such as construction. I'll play with it more and check back in a few months.",leanna schwarz,Rated 5 stars out of five stars,4
29-Jul-18,"Great app, love the real-time updates and the fact you can suggest map edits. I'd eventually like to see satellite view and every now and then it can't determine my GPS, but a restart usually fixes it",Keegan Johnson,Rated 4 stars out of five stars,3
30-Jul-18,The app needs to cache share eta contacts. Currently it doesn't so every day when I drive home I have to scroll down through a big list to send my wife an ETA. I'd like to have her on a shortlist. The AA integration is great! Finally!,Gary Yund,Rated 4 stars out of five stars,
1-Aug-18,"**EDIT** 8/1/18 App constantly crashes on my Pixel 2 XL. Every time I answer the phone, and other times randomly. Loved this app, but seriously considering switching. It's obnoxious. Wish that your highlighted route was changed to a color that represented the amount of traffic... Green, Yellow, ...
Full Review",Chris Nicholas,Rated 1 stars out of five stars,2
2-Aug-18,The maps seem outdated in places. It was determined to make me go down a bus lane (60 fine) and tried to take me down a road that had been closed for years. Other than that I quite like it but not my go-to satnav. Update: it actually took me down a bus lane and l got a penalty in the post.,Chris Human,Rated 1 stars out of five stars,8
6-Aug-18,This used to be one of my favorite apps. I used it on a car trip from Ohio to Florida without issue. Now I can't get it to calculate the route from Ohio to the tip of Michigan for a Canada Trip. Breaking up the route is not a solution when part of the point of navigation apps is to... Navigate.,Kory Bishop,Rated 3 stars out of five stars,
